,Distance_to_soma,17302_00007,17302_00010,17302_00009,17302_00006,17302_00011
0,0,5,4,4,4,4
1,5,5,4,4,4,4
2,10,5,3,4,4,4
3,15,5,5,4,6,7
4,20,7,8,8,10,13
5,25,9,8,8,11,16
6,30,15,9,13,15,15
7,35,17,12,18,15,17
8,40,19,16,17,16,23
9,45,17,19,20,26,22
10,50,17,22,25,24,24
11,55,17,23,21,21,28
12,60,22,27,20,23,36
13,65,20,28,24,21,29
14,70,27,29,24,22,33
15,75,23,28,21,22,30
16,80,23,27,21,22,30
17,85,21,27,20,24,32
18,90,21,27,20,23,32
19,95,21,27,19,25,31
20,100,21,29,18,23,33
21,105,23,26,18,23,30
22,110,27,24,17,18,27
23,115,19,21,16,18,27
24,120,20,18,12,16,26
25,125,18,16,10,17,24
26,130,13,16,9,15,23
27,135,14,15,9,14,20
28,140,12,11,7,8,18
29,145,11,12,7,7,18
30,150,10,9,7,7,17
31,155,8,9,7,9,15
32,160,7,6,5,9,12
33,165,8,6,4,8,12
34,170,6,5,5,3,8
35,175,2,4,1,2,7
36,180,2,3,1,2,6
37,185,2,3,1,2,6
38,190,2,1,0,1,5
39,195,2,1,0,1,5
40,200,1,1,0,1,4
41,205,1,1,0,1,1
42,210,1,0,0,1,1
43,215,1,0,0,1,0
44,220,1,0,0,1,0
45,225,0,0,0,1,0
46,230,0,0,0,1,0
47,235,0,0,0,1,0
48,240,0,0,0,0,0
49,245,0,0,0,0,0
50,250,0,0,0,0,0
51,255,0,0,0,0,0
52,260,0,0,0,0,0
53,265,0,0,0,0,0
54,270,0,0,0,0,0
55,275,0,0,0,0,0
56,280,0,0,0,0,0
57,285,0,0,0,0,0
58,290,0,0,0,0,0
59,295,0,0,0,0,0
